airportname,latitude,longitude,count
Buon Ma Thuot Airport,12.668311,108.120272,4
Burgas,42.569583,27.515236,5
Burketown Airport,-17.7486,139.534,1
Burlington Intl,44.471861,-73.153278,6
Bushehr,28.944811,50.834637,3
Busuanga,12.121458,120.100031,1
Butuan,8.951322,125.477972,1
Bydgoszcz Ignacy Jan Paderewski Airport,53.0968,17.9777,2
C P A Carlos Rovirosa Intl,17.997,-92.817361,6
Cabinda,-5.596992,12.188353,1
Cabo Frio International Airport,-22.921667,-42.074167,1
Cabo Velas Airport,10.3557,-85.852892,1
Cadete Guillermo Del Castillo Paredes,-6.508742,-76.373247,3
Cadjehoun,6.357228,2.384353,22
Cagayan De Oro,8.415619,124.611219,4
Cairns Intl,-16.885833,145.755278,40
Cairo Intl,30.121944,31.405556,106
Calabar,4.976019,8.347197,1
Calgary Intl,51.113888,-114.020278,99
Calicut,11.136839,75.9553,20
Cam Ranh Airport,11.998153,109.219372,4
Cambridge Bay,69.108055,-105.138333,4
Camilo Daza,7.927567,-72.511547,1
Camilo Ponce Enriquez Airport,-3.99589,-79.3719,1
Campbell River,49.950832,-125.270833,3
Campo Dell Oro,41.923637,8.802917,28
Campo Dos Bugres,-29.197064,-51.187536,1
Campo Grande,-20.468667,-54.6725,12
Canadian Rockies Intl,49.612222,-115.781944,2
Canberra,-35.306944,149.195,10
Cancun Intl,21.036528,-86.877083,113
Cap Fap David Abenzur Rengifo Intl,-8.377939,-74.574297,3
Cap Haitien Intl,19.732989,-72.194739,1
Cape Dorset,64.23,-76.526667,1
Cape Town Intl,-33.964806,18.601667,25
Capital City,42.7787,-84.587357,3
Capital Intl,40.080111,116.584556,454
Capitan Oriel Lea Plaza,-21.555736,-64.701325,5
Capodichino,40.886033,14.290781,52
Carajas Airport,-6.11781,-50.0035,2
Cardiff,51.396667,-3.343333,18
Carlos Alberto da Costa Neves Airport,-26.788333,-50.939722,1
Carlos Ibanez Del Campo Intl,-53.002642,-70.854586,3
Carpiquet,49.173333,-0.45,2
Carrasco Intl,-34.838417,-56.030806,10
Carriel Sur Intl,-36.77265,-73.063106,3
Carthage,36.851033,10.227217,67
Casa De Campo Intl,18.450711,-68.911833,1
Casale,40.657633,17.947033,15
Cascavel,-25.000339,-53.500764,1
Cassidy Intl,1.986161,-157.349778,2
Castlegar,49.296389,-117.6325,1
Cat Bi International Airport,20.819386,106.724989,1
Cat Lake Airport,51.7272,-91.8244,1
Catania Fontanarossa,37.466781,15.0664,91
Cataratas Del Iguazu,-25.737281,-54.473444,2
Cataratas Intl,-25.59615,-54.487206,8
Catumbela Airport,-12.4792,13.4869,1
Caumont,43.9073,4.901831,1
Caye Caulker Airport,17.7347,-88.0325,4
Cayo Coco Airport,22.5132,-78.511,2
Cedar Rapids,41.884694,-91.710806,9
Central,51.334366,46.022952,4
Central Illinois Rgnl,40.477111,-88.915917,5
Central Nebraska Regional Airport,40.9675,-98.3096,1
Central Wisconsin,44.772726,-89.646635,1
Cerro Moreno Intl,-23.444478,-70.4451,7
Chacalluta,-18.348531,-70.338742,3
Chah Bahar,25.44335,60.382114,4
Chaklala,33.616653,73.099233,40
Chalkyitsik Airport,66.645,-143.74,1
Champaign,40.03925,-88.278056,2
Chandigarh,30.673469,76.788542,3
Changbaishan Airport,42.088056,127.548889,2
Changbei Intl,28.865,115.9,70
Changchun,43.5412,125.1201,49
Changde Airport,28.9189,111.64,5
Changi Intl,1.350189,103.994433,325
Changle,25.935064,119.663272,107
Changzhi Airport,36.2475,113.126,8
Changzhou,31.941667,119.711667,29
Changzhoudao Airport,23.4567,111.248,2
