airportname,latitude,longitude,count
Deadhorse,70.19475,-148.465167,1
Debrecen,47.488917,21.615333,1
Decatur,39.834564,-88.865689,1
Deer Lake,49.210833,-57.391388,1
Deering Airport,66.0696,-162.766,1
Dehradun,30.189689,78.180256,1
Del Caribe Intl Gen Santiago Marino,10.912926,-63.967581,1
Del Norte County Airport,41.7802,-124.237,1
Deline,65.1833333,-125.41666667,1
Denver Intl,39.861656,-104.673178,1
Depati Amir,-2.1622,106.139064,1
Deputado Luis Eduardo Magalhaes,-12.910994,-38.331044,1
Dera Ghazi Khan Airport,29.961011,70.485925,1
Dera Ismael Khan Airport,31.909422,70.896639,1
Des Moines Intl,41.533972,-93.663083,1
Detroit Metro Wayne Co,42.212444,-83.353389,1
Devi Ahilyabai Holkar,22.721786,75.801086,1
Dibrugarh Airport,27.4839,95.0169,1
Diego Aracena Intl,-20.535222,-70.181275,1
Dillon's Bay Airport,-18.7694,169.001,1
Dimapur Airport,25.8839,93.7711,1
Dionysios Solomos,37.750853,20.88425,1
Diori Hamani,13.481547,2.183614,1
Diosdado Macapagal International,15.185833,120.560278,1
Dipolog,8.601261,123.334481,1
Diqing Airport,27.7936,99.6772,1
Dire Dawa Intl,9.6247,41.854203,1
Diwopu,43.907106,87.474244,1
Diyarbakir,37.893897,40.201019,1
Dnipropetrovsk Intl,48.357222,35.100556,1
Dodge City Regional Airport,37.7634,-99.9656,1
Doha Intl,25.261125,51.565056,1
Domododevo,55.408611,37.906111,1
Don Miguel Hidalgo Y Costilla Intl,20.5218,-103.311167,1
Don Muang Intl,13.912583,100.60675,1
Donegal Airport,55.044192,-8.341,1
Donetsk Intl,48.073611,37.739722,1
Dong Hoi,17.515,106.590556,1
Dong Tac,13.04955,109.333706,1
Dongshan,49.204997,119.825,1
Dongying Airport,37.2716,118.2819,1
Doomadgee Airport,-17.9403,138.822,1
Dortmund,51.518314,7.612242,1
Douala,4.006081,9.719481,1
Dourados Airport,-22.220833,-54.805833,1
Dr Ambedkar Intl,21.092192,79.047183,1
Dr Joaquin Balaguer International Airport,18.5725,-69.9856,1
Dresden,51.132767,13.767161,1
Dryden Rgnl,49.831667,-92.744167,1
Dubai Al Maktoum,24.55056,55.103174,1
Dubai Intl,25.252778,55.364444,1
Dubbo,-32.216667,148.574722,1
Dublin,53.421333,-6.270075,1
DuBois Regional Airport,41.1783,-78.8987,1
Dubrovnik,42.561353,18.268244,1
Duluth Intl,46.842091,-92.193649,1
Dumaguete,9.333714,123.300472,1
Dumatubun Airport,-5.661619,132.731431,1
Dunedin,-45.928055,170.198333,1
Dunhuang Airport,40.094,94.4818,1
Duong Dong Airport,10.227025,103.967169,1
Durango Intl,24.124194,-104.528014,1
Durango La Plata Co,37.151516,-107.75377,1
Durban Intl,-29.970089,30.950519,1
Dushanbe,38.543333,68.825,1
Dusseldorf,51.289453,6.766775,1
Dyce,57.201944,-2.197778,1
Dzaoudzi Pamandzi,-12.804722,45.281113,1
E T Joshua,13.144306,-61.210861,1
East London,-33.035569,27.825939,1
Eastmain River Airport,52.2264,-78.5225,1
Edinburgh,55.95,-3.3725,1
Edmonton Intl,53.309723,-113.579722,1
Eduardo Falla Solano,2.152175,-74.76635,1
Eduardo Gomes Intl,-3.038611,-60.049721,1
Edward Bodden Airfield,19.6591666667,-80.09083333,1
Edward G Pitka Sr,64.736178,-156.937417,1
Eek Airport,60.213611,-162.043889,1
Eelde,53.11972,6.579444,1
Egal Intl,9.518167,44.088758,1
Eglin Afb,30.48325,-86.5254,1
Eilat,29.561281,34.960081,1
Eindhoven,51.450139,5.374528,1
El Alto Intl,-16.513339,-68.192256,1
El Aroui Airport,34.9888,-3.02821,1
El Calafate,-50.280322,-72.053103,1
El Carano,5.690758,-76.641181,1
El Golea,30.571294,2.859586,1
El Loa,-22.498175,-68.903575,1
El Paso Intl,31.80725,-106.377583,1
El Plumerillo,-32.831717,-68.792856,1
El Salvador Intl,13.440947,-89.055728,1
El Tari,-10.171583,123.671136,1
El Tepual Intl,-41.438886,-73.093953,1
